年月,日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均湿度(％),平均湿度(％),平均湿度(％),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
23-Feb,12.1,8,2,3,8,2,40.5,0,8,1,178.6,0,8,2,2.8,8,2,54,8,2,5.2,8,1
23-Mar,17.9,8,2,8.6,8,2,145,0,8,1,164.1,0,8,2,2.7,8,2,68,8,2,6.5,8,1
23-Apr,21.7,8,2,11.9,8,2,90,0,8,1,197.2,0,8,2,3.5,8,2,62,8,2,6,8,1
23-May,24,8,2,14.6,8,2,159,0,8,1,195.9,0,8,2,3.1,8,2,72,8,2,7.3,8,1
23-Jun,27.6,8,2,19.6,8,2,347,0,8,1,137.5,0,8,2,2.6,8,2,80,8,2,8.6,8,1
23-Jul,33.9,8,2,24.7,8,2,30,0,8,1,250.4,0,8,2,3,8,2,72,8,2,5.8,8,1
23-Aug,34.3,8,2,26.1,8,2,132.5,0,8,1,222.3,0,8,2,3.3,8,2,78,8,2,6.6,8,1
23-Sep,31.2,8,2,23.6,8,2,229,0,8,1,143.7,0,5,2,2.8,8,2,80,8,2,7.2,8,1
23-Oct,23.7,8,2,14.7,8,2,147,0,8,1,200.6,0,8,2,2.4,8,2,67,8,2,5.8,8,1
23-Nov,19.2,8,2,10.3,8,2,41.5,0,8,1,174.8,0,8,2,2.3,8,2,66,8,2,4.6,8,1
23-Dec,14.3,8,2,5.2,8,2,19.5,0,8,1,199.1,0,8,2,2.1,8,2,59,8,2,4.7,8,1
24-Jan,11.8,8,2,2.9,8,2,36,0,8,1,198.5,0,8,2,2.6,8,2,54,8,2,3.7,8,1
24-Feb,12.5,8,2,4.1,8,2,78.5,0,8,1,152.4,0,8,2,2.9,8,2,63,8,2,6.7,8,1
24-Mar,14.8,8,2,5.1,8,2,188.5,0,8,1,201.6,0,8,2,3.1,8,2,59,8,2,5.3,8,1
24-Apr,21.8,8,2,13.1,8,2,115.5,0,8,1,150.3,0,8,2,2.7,8,2,72,8,2,7.6,8,1
24-May,24.8,8,2,15.6,8,2,201.5,0,8,1,185.5,0,8,2,3.3,8,2,72,8,2,7.1,8,1
24-Jun,27.7,8,2,19.3,8,2,350,0,8,1,158.1,0,8,2,2.6,8,2,79,8,2,7.7,8,1
24-Jul,33.5,8,2,25,8,2,206.5,0,8,1,199.6,0,8,2,2.6,8,2,78,8,2,8.3,8,1
24-Aug,33.6,8,2,25.7,8,2,381,0,8,1,189.8,0,8,2,3,8,2,79,8,2,7.1,8,1
24-Sep,30.9,8,2,23.5,8,2,111.5,0,8,1,160.8,0,8,2,2.9,8,2,81,8,2,6.8,8,1
24-Oct,24.5,8,2,17.4,8,2,174.5,0,8,1,111.7,0,8,2,2.4,8,2,79,8,2,7.9,8,1
24-Nov,17.8,8,2,10.2,8,2,82,0,8,1,158.1,0,8,2,2.3,8,2,69,8,2,5.4,8,1
24-Dec,13.2,8,2,3.8,8,2,0.5,0,8,1,233.8,0,8,2,2.3,8,2,54,8,2,3.2,8,1
25-Jan,11.6,8,2,2.6,8,2,26,0,8,1,206.1,0,8,2,2.3,8,2,53,8,2,3.5,8,1
25-Feb,12,8,2,1.9,8,2,6.5,0,8,1,217,0,8,2,2.9,8,2,44,8,2,3.4,8,1
25-Mar,16,8,2,6.2,8,2,153,0,8,1,168,0,8,2,2.9,8,2,65,8,2,6.5,8,1
25-Apr,20.7,8,2,11.2,8,2,154.5,0,8,1,178.4,0,8,2,3.1,8,2,69,8,2,6.7,8,1
25-May,23.6,8,2,15.5,8,2,206,0,8,1,145.5,0,8,2,2.9,8,2,76,8,2,8.9,8,1
25-Jun,29.3,8,2,21.2,8,2,100,0,8,1,179.4,0,8,2,2.9,8,2,79,8,2,7.9,8,1
25-Jul,33.2,8,2,25,8,2,74.5,0,8,1,250.5,0,8,2,3.4,8,2,77,8,2,6.6,8,1
25-Aug,34.4,8,2,26.2,8,2,68.5,0,8,1,224.3,0,8,2,3,8,2,74,8,2,6.7,8,1
25-Sep,30.9,8,2,23,8,2,203.5,0,8,1,158.3,0,8,2,2.8,8,2,77,8,2,7.2,8,1
25-Oct,22.1,8,2,15.7,8,2,106.5,0,8,1,74.1,0,8,2,2.4,8,2,78,8,2,8.9,8,1
25-Nov,17.4,8,2,8.9,8,2,17,0,8,1,160.1,0,8,2,2.1,8,2,64,8,2,4.9,8,1
25-Dec,12.9,8,2,4.2,8,2,36.5,0,8,1,171.9,0,8,2,2.2,8,2,59,8,2,4.6,8,1
26-Jan,11,8,2,1.6,8,2,7.5,0,8,1,224.5,0,8,2,2.7,8,2,44,8,2,3.4,8,1
26-Feb,13.2,8,2,3.5,8,2,58,0,8,1,156.4,0,8,2,2.5,8,2,58,8,2,5.7,8,1
26-Mar,15.6,8,2,7.3,8,2,122.5,0,8,1,169.6,0,8,2,2.8,8,2,60,8,2,6.7,8,1
26-Apr,21.6,8,2,12,8,2,162,0,8,1,162.3,0,8,2,3.2,8,2,68,8,2,7.2,8,1
26-May,25.8,8,2,16,8,2,115.5,0,8,1,222.2,0,8,2,3.1,8,2,66,8,2,6.5,8,1
26-Jun,25.5,5,2,18.2,5,2,342.5,0,5,1,94.4,0,5,2,2.7,5,2,78,5,2,9,5,1
